Match,Team_Innings,Batting_Pos,Batsman,Dismissal,Runs,Balls,4s,6s,SR
Gujarat Titans vs Mumbai Indians,Mumbai Indians,5,Tilak Varma,b Rashid Khan,43,14,5,3,307.14
Gujarat Titans vs Mumbai Indians,Mumbai Indians,6,Vishnu Vinod †,c Pandya b Sharma,5,7,0,0,71.42
Gujarat Titans vs Mumbai Indians,Mumbai Indians,7,Tim David,lbw b Rashid Khan,2,3,0,0,66.66
Gujarat Titans vs Mumbai Indians,Mumbai Indians,8,Chris Jordan,c Sai Sudharsan b Sharma,2,5,0,0,40.00
Gujarat Titans vs Mumbai Indians,Mumbai Indians,9,Piyush Chawla,c Miller b Sharma,0,2,0,0,0.00
Gujarat Titans vs Mumbai Indians,Mumbai Indians,10,Kumar Kartikeya,c Miller b Sharma,6,7,1,0,85.71
Gujarat Titans vs Mumbai Indians,Mumbai Indians,11,Jason Behrendorff,not out,3,5,0,0,60.00
Gujarat Titans vs Chennai Super Kings,Gujarat Titans,1,Wriddhiman Saha †,c †Dhoni b Chahar,54,39,5,1,138.46
Gujarat Titans vs Chennai Super Kings,Gujarat Titans,2,Shubman Gill,st †Dhoni b Jadeja,39,20,7,0,195.00
Gujarat Titans vs Chennai Super Kings,Gujarat Titans,3,Sai Sudharsan,lbw b Pathirana,96,47,8,6,204.25
Gujarat Titans vs Chennai Super Kings,Gujarat Titans,4,Hardik Pandya (c),not out,21,12,0,2,175.00
Gujarat Titans vs Chennai Super Kings,Gujarat Titans,5,Rashid Khan,c Gaikwad b Pathirana,0,2,0,0,0.00
Gujarat Titans vs Chennai Super Kings,Chennai Super Kings,1,Ruturaj Gaikwad,c Rashid Khan b Noor Ahmad,26,16,3,1,162.50
Gujarat Titans vs Chennai Super Kings,Chennai Super Kings,2,Devon Conway,c Sharma b Noor Ahmad,47,25,4,2,188.00
Gujarat Titans vs Chennai Super Kings,Chennai Super Kings,3,Shivam Dube,not out,32,21,0,2,152.38
Gujarat Titans vs Chennai Super Kings,Chennai Super Kings,4,Ajinkya Rahane,c Shankar b Sharma,27,13,2,2,207.69
Gujarat Titans vs Chennai Super Kings,Chennai Super Kings,5,Ambati Rayudu,c & b Sharma,19,8,1,2,237.50
Gujarat Titans vs Chennai Super Kings,Chennai Super Kings,6,MS Dhoni (c)†,c Miller b Sharma,0,1,0,0,0.00
Gujarat Titans vs Chennai Super Kings,Chennai Super Kings,7,Ravindra Jadeja,not out,15,6,1,1,250.00
