Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role
Litton Das,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmI7YPEbm929sys9xybNWzaXVWqjKyAfoBOOE1vAy4gj3HYkgX4Gl-eAUBoLU&s,Kolkata Knight Riders ,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shakib Al Hasan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSG_rW1LyNVCEDQ7_gm6nqRGwbVtWURRyQcLsKyNwQzYBZfPUI8o_Mpx3a5lQ&s,Kolkata Knight Riders ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Krunal Pandya,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsxOk4FW98unXSGJnjwxWL7oEnpvjzvVrkjjfT-EkWz6KnY7yR84W--K_eYg&s,Lucknow Super Giants ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Avesh Khan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBP-4ukv-iWEx65zT373TeFWrzlwKimTai9KVEWQHSYEtVcZ7WgbzZjaGb3Tc&s,Lucknow Super Giants ,Right hand Bat,Right arm Fast medium,Bowler
Ayush Badoni,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEG_IBGHjKlC3-ha1Qwos6gn9hyP3RdunaD-45Yf10nwqMkMmv9wF-AeT0mQ&s,Lucknow Super Giants ,Right hand Bat,Right arm Offbreak,Batter
Quinton de Kock,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj0YSsnVAy_JaGT85nxUZU2pq8-dCRUVqNAFaLxvuTwMe-bLP7c17nx6yoEA&s,Lucknow Super Giants ,Left hand Bat,,Wicketkeeper Batter
Krishnappa Gowtham,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtzGOeqquXCbyZhSduXW3NFE7yQ5AEE7famadvg1zwFHTVV71I3XPoTcyOZQ&s,Lucknow Super Giants ,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Arpit Guleria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmQ7Fmfb-5EVuzaNBL0cN0Q4wFUy4lAIy43_gj44lqlNuLWnkf3YrIlWYTKQ&s,Lucknow Super Giants ,Right hand Bat,Right arm Medium,Bowler
Deepak Hooda,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRanRJPFfdm7-9nS9akCvygoTVB6yA6u3HIfaxujmRZOWHjznmQas9GM_14w&s,Lucknow Super Giants ,Right hand Bat,Right arm Offbreak,Allrounder
Prerak Mankad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1H46meDo0gBoCWoKl_Zgva6Z4jx5xWOvSJgwxbq75JzaqG_sTQyRfY2640w&s,Lucknow Super Giants ,Right hand Bat,Right arm Medium,Allrounder
Kyle Mayers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRq4x468IOKJaqbzrL7LgdmtQ10ogw-X8UWMQax19sgdhjPAhMP8ML3tkXKh1s&s,Lucknow Super Giants ,Left hand Bat,Right arm Medium,Batting Allrounder
Amit Mishra,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3DJMrQVQBXBY7HepRtQbaeokj50I85Q7EJx5h3bObpnhadgw9D5B3vQ8DXg&s,Lucknow Super Giants ,Right hand Bat,Legbreak,Bowler
